역사명,미세먼지(PM10),미세먼지(PM2.5),이산화탄소,폼알데하이드,일산화탄소,이산화질소,라돈,휘발성유기화합물
1호선평균,22.2,15.9,435,5.2,1.9,0.028,28,25.1
설화명곡,32.9,19,460,2.9,1.1,0.03,25.5,8.5
화원,35.9,20.6,460,3.9,1,0.033,10.5,65.7
대곡역,19.4,12.9,419,4.8,1.1,0.022,19.5,82.1
진천역,24.3,20,421,4.8,1.7,0.029,31,85.5
월배역,21.8,14.6,409,6.8,1.7,0.029,16,50.7
상인역,33.5,19.2,477,6.8,1.8,0.027,21.5,26.7
월촌역,18.9,12.4,376,3.3,1.8,0.027,21.5,10.8
송현역,18.6,13.5,387,4.4,1.5,0.025,16,19.4
성당못역,27.3,17.1,401,3,2,0.027,36.5,22.4
대명역,17.2,9.8,384,2.5,1.8,0.028,34.5,5.3
안지랑역,19.8,17.1,409,2.5,1.7,0.03,36.5,9.6
현충로역,19.2,14.7,380,1.7,1.6,0.029,42,5.6
영대병원역,20.2,13.3,424,3.5,1.8,0.03,38.5,16.2
교대역,24.4,17.5,374,2.7,1.9,0.024,40,12.8
명덕역,26.3,19.3,460,5,2.3,0.031,42,30.6
반월당역,22.2,15.6,439,6.5,2.7,0.033,26,35.4
중앙로역,13.1,10.4,414,3.7,2.1,0.027,26,27.5
대구역,18.7,14.5,443,5.7,1.6,0.023,37.5,17.4
칠성시장역,19.7,14.8,497,7,1.7,0.021,43,31.6
신천역,20.9,13.4,463,8.6,1.7,0.043,22.5,35
동대구역,23.7,14.6,485,7.6,2.1,0.027,35,27.7
동구청역,20.7,12.3,487,8.6,1.6,0.034,32,33.4
아양교역,19.8,14.4,461,5.2,2.2,0.022,35.5,36.7
동촌역,22.2,17.4,453,5.6,1.7,0.024,52,10.7
해안역,23.6,18.2,406,6,3.2,0.037,17,12.2
방촌역,22.6,19.7,441,8.4,1.8,0.025,19,22.3
용계역,21.2,19.3,463,6.7,1.9,0.037,15,15.5
율하역,19.1,19.3,481,5.1,2,0.025,22.5,10.4
신기역,17.6,16.4,396,4.1,2.7,0.019,16.5,9.2
반야월역,18.2,17.2,442,5,2.4,0.014,18.5,10.6
각산역,22.4,15.6,446,7,2.9,0.031,24,11.9
안심역,23.7,16,453,6.9,1.9,0.021,20.5,4.9
2호선평균,25,17.6,449,4.9,1.6,미측정,미측정,미측정
문양역,15.6,10.5,431,3.9,1.7,미측정,미측정,미측정
다사역,25.5,15.3,425,3.8,1.6,미측정,미측정,미측정
대실역,22.3,19.9,391,3,1.8,미측정,미측정,미측정
강창역,19,14.9,400,3,1.7,미측정,미측정,미측정
계명대역,29.8,13.2,370,3.6,1.4,미측정,미측정,미측정
성서산업단지역,35.2,17,402,4.5,1.7,미측정,미측정,미측정
이곡역,30.9,18.9,441,3.7,2.1,미측정,미측정,미측정
용산역,36.4,16.8,417,5,1.2,미측정,미측정,미측정
죽전역,24.9,19.7,402,3.9,1.3,미측정,미측정,미측정
감삼역,25,17.9,452,5,1.2,미측정,미측정,미측정
두류역,30.2,21.7,438,7.1,1.3,미측정,미측정,미측정
내당역,31,22,430,4.2,0.8,미측정,미측정,미측정
반고개역,29.5,23.5,447,12.5,1.4,미측정,미측정,미측정
신남역,28.5,18.6,497,13.9,1.3,미측정,미측정,미측정
반월당역,19.4,15.2,540,4.9,2.4,미측정,미측정,미측정
경대병원역,23.8,13.5,431,3.6,1.5,미측정,미측정,미측정
대구은행역,32.3,25.3,481,10.4,0.8,미측정,미측정,미측정
범어역,22.3,16.8,423,4.3,1.8,미측정,미측정,미측정
수성구청역,26,20,431,5,1.7,미측정,미측정,미측정
만촌역,25.9,20.9,468,3.6,1.7,미측정,미측정,미측정
담티역,24.5,18.9,483,3.4,1.8,미측정,미측정,미측정
연호역,18,14.3,456,5.2,1.7,미측정,미측정,미측정
대공원역,16.1,13.1,525,6.2,2,미측정,미측정,미측정
고산역,22,16.3,489,3.5,1.7,미측정,미측정,미측정
신매역,25.5,19.1,510,3.1,1.9,미측정,미측정,미측정
사월역,28.7,25.6,520,3.8,2,미측정,미측정,미측정
정평역,18.8,14.7,418,2.4,1.8,미측정,미측정,미측정
임당역,19.2,13.4,431,2.4,2,미측정,미측정,미측정
영남대역,19.5,13.1,482,4.1,1.9,미측정,미측정,미측정
