호선,역사,단 위,냉동기,공기조화기,히트펌프,패키지 에어컨,항온항습기,본선송풍기,자동에어필터,자동세정형필터
1,설화명곡,대,2,4,1,3,0,10,0,2
1,화원,대,2,4,1,7,0,6,0,2
1,대곡,대,1,4,1,1,0,10,0,2
1,진천,대,1,3,1,1,0,8,0,2
1,월배,대,1,3,1,1,0,8,0,2
1,상인,대,1,4,1,1,0,7,0,2
1,월촌,대,1,4,1,1,0,6,0,2
1,송현,대,1,4,1,1,0,6,0,2
1,성당못,대,1,5,2,1,0,7,0,2
1,대명,대,1,3,1,1,0,7,0,2
1,안지랑,대,1,3,1,1,0,7,0,2
1,현충로,대,1,3,1,1,0,8,0,2
1,영대병원,대,1,4,1,1,0,8,0,2
1,교대,대,1,4,3,1,0,8,0,2
1,명덕,대,1,3,1,1,0,9,0,2
1,1반월당,대,1,5,1,1,0,7,0,2
1,중앙로,대,1,5,1,1,0,8,0,2
1,대구,대,1,4,2,1,0,6,0,2
1,칠성,대,1,4,2,1,0,11,0,2
1,신천,대,1,4,1,1,0,7,0,2
1,동대구,대,1,6,2,1,0,4,0,2
1,큰고개,대,1,3,1,1,0,10,0,2
1,아양교,대,1,5,1,1,0,5,0,2
1,동촌,대,1,4,2,1,0,12,0,2
1,해안,대,1,4,1,1,0,7,0,2
1,방촌,대,1,4,2,1,0,8,0,2
1,용계,대,1,3,1,1,0,6,0,2
1,율하,대,1,4,1,2,0,7,0,2
1,신기,대,1,5,2,1,0,7,0,2
1,반야월,대,1,4,2,2,0,7,0,2
1,각산,대,1,3,1,1,0,6,0,2
1,안심,대,1,4,2,1,0,6,0,2
2,문양,대,2,3,2,2,1,3,0,0
2,다사,대,2,3,1,1,0,3,0,2
2,대실,대,2,5,1,1,0,5,0,2
2,강창,대,2,4,1,1,0,7,0,2
2,계명대,대,2,4,1,2,0,6,0,2
2,성서산단,대,2,4,1,2,0,7,0,2
2,이곡,대,2,4,1,1,0,10,0,2
2,용산,대,2,5,1,2,0,11,0,2
2,죽전,대,2,4,1,6,0,12,0,2
2,감삼,대,2,4,1,1,0,12,0,2
2,두류,대,2,4,2,1,0,12,0,2
2,내당,대,2,3,1,1,0,12,0,2
2,반고개,대,2,3,2,6,0,10,0,2
2,신남,대,2,4,2,1,0,12,0,2
2,2반월당,대,2,7,1,4,0,11,0,2
2,경대병원,대,2,4,1,2,0,11,0,2
2,대구은행,대,2,4,1,6,0,10,0,2
2,범어,대,2,4,1,2,0,11,0,2
2,수성구청,대,2,4,1,2,0,10,0,2
2,만촌,대,2,5,1,1,0,10,0,2
2,담티,대,2,4,1,1,0,8,0,2
2,연호,대,2,4,1,1,0,8,0,2
2,대공원,대,2,5,2,6,0,6,0,2
2,고산,대,2,3,1,1,0,6,0,2
2,신매,대,2,4,1,1,0,6,0,2
2,사월,대,2,4,1,6,0,6,0,2
2,정평,대,2,4,1,2,0,9,0,2
2,임당,대,2,4,1,1,0,7,0,2
2,영남대,대,2,4,1,11,0,6,0,2
3,칠곡경대병원,대,0,0,0,1,1,0,0,0
3,학 정,대,0,0,0,1,1,0,0,0
3,팔 거,대,0,0,0,1,1,0,0,0
3,동 천,대,0,0,0,4,1,0,0,0
3,칠 곡,대,0,0,0,2,1,0,0,0
3,구 암,대,0,0,0,2,1,0,0,0
3,태 전,대,0,0,0,2,1,0,0,0
3,매 천,대,0,0,0,2,2,0,0,0
3,매천농수산물시장,대,0,0,0,3,1,0,0,0
3,팔 달,대,0,0,0,2,1,0,0,0
3,공 단,대,0,0,0,1,1,0,0,0
3,만 평,대,0,0,0,1,1,0,0,0
3,팔달시장,대,0,0,0,3,1,0,0,0
3,원 대,대,0,0,0,1,1,0,0,0
3,북구청,대,0,0,0,2,1,0,0,0
3,달성공원,대,0,0,0,1,2,0,0,0
3,서문시장,대,0,0,0,1,1,0,0,0
3,신 남,대,0,0,0,2,1,0,0,0
3,남 산,대,0,0,0,3,1,0,0,0
3,명 덕,대,0,1,0,2,1,0,0,0
3,건들바위,대,0,0,0,2,1,0,0,0
3,대봉교,대,0,0,0,2,1,0,0,0
3,수성시장,대,0,0,0,4,1,0,0,0
3,수성구민운동장입구,대,0,0,0,3,2,0,0,0
3,어린이회관,대,0,0,0,3,1,0,0,0
3,황 금,대,0,0,0,3,1,0,0,0
3,수성못,대,0,0,0,6,1,0,0,0
3,지 산,대,0,0,0,1,1,0,0,0
3,범 물,대,0,0,0,1,1,0,0,0
3,용 지,대,0,0,0,1,1,0,0,0
