연도,월,종합청사(㎥),월배기지(㎥),안심기지(㎥),문양기지(㎥),칠곡기지(㎥),범물기지(㎥),1호선 역사(㎥),2호선 역사(㎥),3호선 역사(㎥),경산관리소(㎥),사월관리소(㎥)
2017,01,759,1420,736,1857,637,78,16394,5683,4950,66,58
2017,02,666,1462,977,1523,543,57,13879,4732,4807,84,82
2017,03,737,1663,786,2055,589,67,13035,3571,5961,70,64
2017,04,660,1833,765,1891,534,63,12479,3156,6251,74,61
2017,05,2261,1882,744,2181,818,66,13842,3664,6570,76,60
2017,06,2460,2042,1032,2080,883,85,16242,4566,6304,82,62
2017,07,1892,2257,839,2517,952,97,15605,7266,6049,78,70
2017,08,1736,2100,1271,2244,819,85,14650,6154,6311,77,78
2017,09,1306,1660,1322,1865,890,112,19554,6886,6566,76,85
2017,10,1177,1570,1424,1690,919,76,20894,7004,6228,85,87
2017,11,817,1571,1265,1755,989,85,14738,4821,5960,79,72
2017,12,766,1291,1153,1488,819,65,14529,4180,5472,82,61
