호선,역 명,역사심도(지상-도상바닥)_(단위_미터)
1,설화명곡,25.6
1,화원,23.2
1,대 곡,17.2
1,진 천,15.7
1,월 배,12.8
1,상 인,13.7
1,월 촌,12.9
1,송 현,17.2
1,성당못,14.6
1,대 명,14.6
1,안지랑,17.6
1,현충로,15.5
1,영대병원,15.5
1,교 대,18.3
1,명 덕,12.7
1,반월당,16.9
1,중앙로,17.9
1,대구역,16.6
1,칠성시장,20.2
1,신 천,16.2
1,동대구역,20.1
1,큰고개,14.4
1,아양교,22.1
1,동 촌,22.9
1,해 안,19
1,방 촌,14.2
1,용 계,13.7
1,율 하,14.4
1,신 기,13.4
1,반야월,13.3
1,각 산,13.3
1,안 심,15
2,문 양,0
2,다 사,17.7
2,대 실,21
2,강 창,21.9
2,계명대,18.9
2,성서산단,21.5
2,이 곡,31.3
2,용 산,20.2
2,죽 전,30
2,감 삼,21.1
2,두 류,20.6
2,내 당,23.1
2,반고개,22
2,신 남,26.5
2,반월당,23
2,경대병원,21.8
2,대구은행,20.8
2,범 어,25.5
2,수성구청,24.6
2,만 촌,25
2,담 티,27.6
2,연 호,22
2,대공원,30.8
2,고 산,21.4
2,신 매,19.2
2,사 월,27.4
2,정 평,20.4
2,임 당,22.8
2,영남대,23.8
3,칠곡경대병원,21.4
3,학 정,19.3
3,팔 거,20.4
3,동 천,16.7
3,칠곡운암,17.1
3,구 암,17.8
3,태 전,18.5
3,매 천,16.4
3,매천시장,17.8
3,팔 달,21.6
3,공 단,19.6
3,만 평,21.9
3,팔달시장,20.6
3,원 대,19.7
3,북구청,19.9
3,달성공원,19.9
3,서문시장,19.9
3,신 남,22.7
3,남 산,19.6
3,명 덕,20.5
3,건들바위,19.7
3,대봉교,20
3,수성시장,19.7
3,수성구민운동장,21
3,어린이회관,21
3,황 금,21.2
3,수성못,22.2
3,지 산,20.5
3,범 물,21.1
3,용 지,25.8
