호선,역명,시설명,출구번호,거리(미터)
1,설화명곡,화원고,3,100
1,화 원,화원초,2,50
1,대 곡,대진고,3,700
1,진 천,진천역환승주차장,2,200
1,월 배,월배초,1,210
1,상 인,영남중고,8,200
1,월 촌,대서초,4,620
1,송 현,송현초,1,870
1,서부정류장,관문시장 공영주차장,3,350
1,대 명,대명초,3,280
1,안지랑,안지랑 어린이 공원,2,100
1,현충로,남도초,1,500
1,영대병원,명덕공원,2,230
1,교 대,영선공원,3,350
1,명 덕,명덕초,1,300
1,반월당,대구초,2,170
1,중앙로,경상감영공원,2,300
1,대구역,경명여고,4,125
1,칠성시장,경명여고,4,700
1,신 천,동신초,1,840
1,동대구역,철도동대구역광장,1,359
1,동구청,신아중학교,3,50
1,아양교,아양초,4,500
1,동 촌,동촌유원지,1,212
1,해 안,동촌중,3,608
1,방 촌,용호초,3,50
1,용 계,조일로봇고,3,400
1,율 하,안일초,4,1600
1,신 기,신기중,5,240
1,반야월,안심중,1,50
1,각 산,신서근린공원,1,240
1,안 심,대구송정초,2,500
2,문 양,야외주차장,1·2,50
2,다 사,다사중,3,300
2,대 실,죽곡초,2,210
2,강 창,강창공원,3·4·5,10
2,계명대,계명대,1·7,370
2,성서산업단지,목련공원,7,539
2,이 곡,성서초,1,100
2,용 산,대구전자공고,3,300
2,죽 전,대림공원,5·6,270
2,감 삼,내삼공원,4,306
2,두 류,신흥초,12,262
2,내 당,내서초,4,600
2,반고개,내당초,2,200
2,청라언덕,남산초,7,200
2,반월당,대구초,2,300
2,경대병원,경북대학교 부설고,2,90
2,대구은행,동일초,3,465
2,범 어,동도초,2,250
2,수성구청,범어초,1,235
2,만 촌,국화공원,3,545
2,담 티,대륜중·고,3,224
2,연 호,3번출구 인도,3,0
2,대공원,2·3번출구 인도,2·3,0
2,고 산,고산초,1,100
2,신 매,누리공원,6,10
2,사 월,사월초,2,400
2,정 평,정평초,3,324
2,임 당,임당 환승 공영주차장,7,50
2,영남대,영남대 정문 유휴공간,3,95
3,칠곡경대병원,대구체육고,3,284
3,학 정,대구체육고,3·4,774
3,팔 거,칠곡초,2,877
3,동 천,함지초,1,449
3,칠곡운암,북부초,1,524
3,구암,구암고,1,436
3,태 전,태암초,1,788
3,매 천,매천고,1,608
3,매천시장,관문초,1,798
3,팔 달,팔달초,1,380
3,공 단,서대구초,1,769
3,만 평,서대구초,2,617
3,팔달시장,비산공원,1,216
3,원 대,해바라기공원,1,183
3,북구청,달성초,3,360
3,달성공원,수창초,4,277
3,서문시장,계성중,3,178
3,청라언덕,남산초,5,100
3,남 산,경북공고,1,200
3,명 덕,명덕초,2,100
3,건들바위,영선초,2,600
3,대봉교,대봉초,2,700
3,수성시장,동일초,4,500
3,수성구민운동장,수성구구민운동장,1,600
3,어린이세상,대구과학고,1,100
3,황 금,들안길초,1,600
3,수성못,두산초,1,280
3,지 산,지산초,1,260
3,범 물,지산공원,2,170
3,용 지,복명초,3,148
